radical,kanjilist
口,啼衰衰吁吩京嘖享吏君哺啻獣單單鵑喉哩名揖靈靈靈嘔嘛嘩狷后哨吃啣悁絅喘啾喫吊哘贏亮部嘸豪占吝聖喬喙倍如喧喪喪吟吋吸吐各嘆嘆哽向哲吹同害唖呶匐哉右噴炯嚢石史哈呷咯言束圜呵台咢咢呼呉囈噺嚠凾呈呻叱嗷唏唔碚圖拐楫唸唐枴唄嗾轡叩呰塩嚥噪呱叨嗽唹加陪緝唇杏鬲咤叶呪咸味噬捐噤噫邉叺咬号咥命唆僉僉舌燕售嗔咀咏咨哀呎足囂囂囂囂嚶囃噛器器器器囎谷邑賠品品品咼呂呂辟只嗜蝠嗚嗣唯呀召句嚼噂囁囀嚴嚴噎知嚏嚔串嚀哂古司叫襄襄或釦唱侃鬟咆咒咒咲咽可呑中咾呟哇咳剖培焙殕寰嗹和叮呆嚊嚇噸噐噐噐噐涓噌嚆叭告哄咄咐咋唳嗟唾嗤歎叱扣喃喚啀問哮吠合吻壽嘶兄亟事哢吼吉畐哭哭啜毫艱雖喀啗別喨喻迥吮亳革葺嘯嘴員吭吶尚衞鐶喩啖鳴喜難龠龠龠啝嗅官吽否囓嘘回嘱冨娟豆冏吾袁啓喰獸獸獸嗄善喋喟羸倉喝俣啌啅輻輯哦听亜韋逼菩嘲囑亨含啄喇喞喊高高
古,嫡固罟蛄苦姑滴故鴣怙居胡鏑適枯敵辜克摘沽估詁謫鈷
句,煦蒟鉤苟局駒劬佝枸怐拘狗齣
只,枳咫
召,髫韶招昭劭超邵紹貂詔沼齠迢
可,奇竒柯呵軻苛舸訶何河珂阿哥哥
台,始胎颱怠怡苔紿笞駘殆飴治抬詒冶貽
史,駛
右,祐醢若佑
号,號
司,笥嗣覗祠伺飼詞
各,略閣輅畧洛貉酪烙咯骼駱咎咎格珞客賂絡狢恪挌茖路
合,龕閤答翕荅哈鴿蛤峇粭拿姶拾盒恰袷洽給
吉,廚詰結頡黠拮佶鼓周舎舗劼髻桔嘉喜彭臺
吊,常
同,筒洞興銅粡胴恫桐
名,銘酩茗
后,逅垢詬
吏,使
向,嚮餉
君,桾裙窘羣郡群
吝,悋
否,痞
含,頷莟
吾,衙悟梧唔牾寤圄珸齬晤語
呂,閭梠麿侶營筥営宮絽
呆,棠襃保
呈,酲逞程郢
呉,蜈娯誤茣虞麌
告,靠酷誥窖皓浩晧梏鵠造
呑,喬
周,稠惆鯛雕週彫綢蜩凋調
命,掵
和,啝
咢,鶚蕚萼鄂顎諤愕鍔齶鰐
咨,諮
咸,鍼箴減鹹緘鰔感喊
咼,禍萵窩蝸渦過堝鍋
哀,袞袞
品,嵒髞操澡蕚懆噪譟繰燥區臨躁
員,韻圓隕殞損
哥,謌彁歌
唐,糖塘溏
善,繕膳
喜,橲熹鱚嬉憙僖禧
喬,驕蕎矯嬌轎橋僑
單,殫憚戰闡鄲襌嬋彈禪
嗇,檣薔墻牆穡艢
嚴,巖儼
